industrial-classification-correlation	source	target	start-date	end-date
247	industrial-classification-2003:10.20	industrial-classification-2007:19.20/1		
248	industrial-classification-2003:10.30	industrial-classification-2007:19.20/1		
249	industrial-classification-2003:23.20/1	industrial-classification-2007:19.20/1		
250	industrial-classification-2003:23.20/9	industrial-classification-2007:19.20/9		
251	industrial-classification-2003:24.11	industrial-classification-2007:20.11		
252	industrial-classification-2003:24.12	industrial-classification-2007:20.12		
253	industrial-classification-2003:23.30	industrial-classification-2007:20.13		
254	industrial-classification-2003:24.13	industrial-classification-2007:20.13		
255	industrial-classification-2003:15.92	industrial-classification-2007:20.14		
256	industrial-classification-2003:24.14	industrial-classification-2007:20.14		
257	industrial-classification-2003:24.15	industrial-classification-2007:20.15		
258	industrial-classification-2003:24.16	industrial-classification-2007:20.16		
259	industrial-classification-2003:24.17	industrial-classification-2007:20.17		
260	industrial-classification-2003:24.20	industrial-classification-2007:20.20		
261	industrial-classification-2003:24.30/1	industrial-classification-2007:20.30/1		
262	industrial-classification-2003:24.30/3	industrial-classification-2007:20.30/1		
263	industrial-classification-2003:24.30/2	industrial-classification-2007:20.30/2		
264	industrial-classification-2003:24.51/1	industrial-classification-2007:20.41/1		
265	industrial-classification-2003:24.51/2	industrial-classification-2007:20.41/2		
266	industrial-classification-2003:24.51/1	industrial-classification-2007:20.42		
267	industrial-classification-2003:24.52	industrial-classification-2007:20.42		
268	industrial-classification-2003:24.61	industrial-classification-2007:20.51		
269	industrial-classification-2003:36.63/9	industrial-classification-2007:20.51		
270	industrial-classification-2003:24.62	industrial-classification-2007:20.52		
271	industrial-classification-2003:24.63	industrial-classification-2007:20.53		
272	industrial-classification-2003:24.62	industrial-classification-2007:20.59		
273	industrial-classification-2003:24.64	industrial-classification-2007:20.59		
274	industrial-classification-2003:24.66	industrial-classification-2007:20.59		
275	industrial-classification-2003:24.70	industrial-classification-2007:20.60		
276	industrial-classification-2003:24.41	industrial-classification-2007:21.10		
277	industrial-classification-2003:23.30	industrial-classification-2007:21.20		
278	industrial-classification-2003:24.42/1	industrial-classification-2007:21.20		
279	industrial-classification-2003:25.11	industrial-classification-2007:22.11		
280	industrial-classification-2003:25.12	industrial-classification-2007:22.11		
281	industrial-classification-2003:19.30	industrial-classification-2007:22.19		
282	industrial-classification-2003:25.13	industrial-classification-2007:22.19		
283	industrial-classification-2003:36.62	industrial-classification-2007:22.19		
284	industrial-classification-2003:36.63/9	industrial-classification-2007:22.19		
285	industrial-classification-2003:25.21	industrial-classification-2007:22.21		
286	industrial-classification-2003:25.22	industrial-classification-2007:22.22		
287	industrial-classification-2003:25.23/1	industrial-classification-2007:22.23		
288	industrial-classification-2003:25.23/9	industrial-classification-2007:22.23		
289	industrial-classification-2003:36.63/9	industrial-classification-2007:22.23		
290	industrial-classification-2003:19.30	industrial-classification-2007:22.29		
291	industrial-classification-2003:25.24	industrial-classification-2007:22.29		
292	industrial-classification-2003:36.63/9	industrial-classification-2007:22.29		
293	industrial-classification-2003:26.11	industrial-classification-2007:23.11		
294	industrial-classification-2003:26.12	industrial-classification-2007:23.12		
295	industrial-classification-2003:26.13	industrial-classification-2007:23.13		
296	industrial-classification-2003:26.14	industrial-classification-2007:23.14		
297	industrial-classification-2003:26.15	industrial-classification-2007:23.19		
298	industrial-classification-2003:26.26	industrial-classification-2007:23.20		
299	industrial-classification-2003:26.30	industrial-classification-2007:23.31		
300	industrial-classification-2003:26.40	industrial-classification-2007:23.32		
301	industrial-classification-2003:26.21	industrial-classification-2007:23.41		
302	industrial-classification-2003:26.22	industrial-classification-2007:23.42		
303	industrial-classification-2003:26.23	industrial-classification-2007:23.43		
304	industrial-classification-2003:26.24	industrial-classification-2007:23.44		
305	industrial-classification-2003:31.62	industrial-classification-2007:23.44		
306	industrial-classification-2003:26.25	industrial-classification-2007:23.49		
307	industrial-classification-2003:26.51	industrial-classification-2007:23.51		
308	industrial-classification-2003:26.52	industrial-classification-2007:23.52		
